Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2000,Kharif,149140.0,97170,1066.0,14641073.8,38776.4,0.639666667
Arhar/Tur,2000,Rabi,50.0,30,1066.0,4908.5,13.0,0.585
Bajra,2000,Kharif,4120.0,2350,1066.0,404460.4,1071.2,0.564
Castor seed,2000,Kharif,9710.0,5050,1066.0,953230.7,2524.6,0.5196
Castor seed,2000,Rabi,8650.0,3940,1066.0,849170.5,2249.0,0.506923077
Coriander,2000,Whole Year,13370.0,6550,1066.0,1312532.9,3476.2,0.482222222
Cotton(lint),2000,Kharif,39160.0,65090,1066.0,3844337.2,10181.6,1.654
Dry chillies,2000,Whole Year,69650.0,58950,1066.0,6837540.5,18109.0,0.838
Garlic,2000,Whole Year,9000.0,28280,1066.0,883530.0,2340.0,3.123
Ginger,2000,Kharif,12060.0,23840,1066.0,1183930.2,3135.6,1.962142857
Gram,2000,Rabi,20630.0,12760,1066.0,2025247.1,5363.8,0.528666667
Groundnut,2000,Kharif,72357.0,57475,1066.0,7103286.69,18812.82,0.885666667
Horse-gram,2000,Kharif,75996.0,14594,1066.0,7460527.32,19758.96,0.217931034
Jowar,2000,Kharif,13000.0,7480,1066.0,1276210.0,3380.0,0.598
Jute,2000,Kharif,13850.0,106680,1066.0,1359654.5,3601.0,5.8825
Linseed,2000,Rabi,20630.0,7460,1066.0,2025247.1,5363.8,0.361875
Maize,2000,Kharif,54371.0,68866,1066.0,5337601.07,14136.46,0.8808
Mesta,2000,Kharif,23880.0,102620,1066.0,2344299.6,6208.8,3.9072
Moong(Green Gram),2000,Kharif,147440.0,29290,1066.0,14474184.8,38334.4,0.21
Niger seed,2000,Kharif,126530.0,29980,1066.0,12421450.1,32897.8,0.342307692
Niger seed,2000,Rabi,31500.0,9030,1066.0,3092355.0,8190.0,0.384545455
Onion,2000,Whole Year,27400.0,229420,1066.0,2689858.0,7124.0,7.385666667
Other  Rabi pulses,2000,Rabi,2180.0,1090,1066.0,214010.6,566.8,0.514444444
Other Kharif pulses,2000,Kharif,26610.0,14510,1066.0,2612303.7,6918.6,0.520714286
Potato,2000,Whole Year,8251.0,85872,1066.0,810000.67,2145.26,9.321071429
Ragi,2000,Kharif,83981.0,46554,1066.0,8244414.77,21835.06,0.424230769
Rapeseed &Mustard,2000,Rabi,12395.0,1649,1066.0,1216817.15,3222.7,0.132758621
Rice,2000,Autumn,854570.0,464250,1066.0,83893136.9,222188.2,0.733666667
Rice,2000,Summer,206730.0,441540,1066.0,20294684.1,53749.8,1.685333333
Rice,2000,Winter,3372220.0,3707590,1066.0,331050837.4,876777.2,1.020666667
Safflower,2000,Rabi,1390.0,780,1066.0,136456.3,361.4,0.546
Sannhamp,2000,Whole Year,11160.0,42290,1066.0,1095577.2,2901.6,4.0725
Sesamum,2000,Kharif,50502.0,6737,1066.0,4957781.34,13130.52,0.182
Small millets,2000,Kharif,40520.0,15630,1066.0,3977848.4,10535.2,0.411666667
Sugarcane,2000,Whole Year,16775.0,963917,1066.0,1646801.75,4361.5,51.06793103
Sunflower,2000,Kharif,830.0,480,1066.0,81481.1,215.8,0.58
Sunflower,2000,Rabi,4250.0,3110,1066.0,417222.5,1105.0,0.643928571
Sweet potato,2000,Whole Year,37670.0,272050,1066.0,3698063.9,9794.2,7.797666667
Tobacco,2000,Whole Year,3380.0,1560,1066.0,331814.6,878.8,0.454166667
Turmeric,2000,Whole Year,25310.0,60630,1066.0,2484682.7,6580.6,2.341923077
Urad,2000,Kharif,109101.0,27258,1066.0,10710445.17,28366.26,0.215666667
Wheat,2000,Rabi,8819.0,12904,1066.0,865761.23,2292.94,1.201538462
Arhar/Tur,2001,Kharif,126080.0,81340,1672.5,12876550.4,32780.8,0.696666667
Arhar/Tur,2001,Rabi,290.0,160,1672.5,29617.7,75.4,0.616666667
Bajra,2001,Kharif,4010.0,2270,1672.5,409541.3,1042.6,0.555
Castor seed,2001,Kharif,8670.0,4310,1672.5,885467.1,2254.2,0.520909091
Castor seed,2001,Rabi,9220.0,5020,1672.5,941638.6,2397.2,0.5328
Coriander,2001,Whole Year,12910.0,5970,1672.5,1318498.3,3356.6,0.449666667
Dry chillies,2001,Whole Year,70030.0,59180,1672.5,7152163.9,18207.8,0.844666667
Garlic,2001,Whole Year,8950.0,28280,1672.5,914063.5,2327.0,3.164666667
Ginger,2001,Kharif,13040.0,25210,1672.5,1331775.2,3390.4,1.808666667
Gram,2001,Rabi,29520.0,19180,1672.5,3014877.6,7675.2,0.514642857
Groundnut,2001,Kharif,61067.0,59904,1672.5,6236772.71,15877.42,0.966666667
Horse-gram,2001,Kharif,91171.0,28017,1672.5,9311294.23,23704.46,0.315172414
Jowar,2001,Kharif,12260.0,7090,1672.5,1252113.8,3187.6,0.607894737
Jute,2001,Kharif,4612.0,37776,1672.5,471023.56,1199.12,8.092222222
Linseed,2001,Rabi,23080.0,8530,1672.5,2357160.4,6000.8,0.355333333
Maize,2001,Kharif,51428.0,46658,1672.5,5252341.64,13371.28,0.714615385
Masoor,2001,Rabi,8790.0,3250,1672.5,897722.7,2285.4,0.364
Moong(Green Gram),2001,Kharif,212511.0,51097,1672.5,21703748.43,55252.86,0.235666667
Niger seed,2001,Kharif,115170.0,26960,1672.5,11762312.1,29944.2,0.283076923
Niger seed,2001,Rabi,28290.0,8860,1672.5,2889257.7,7355.4,0.365833333
Onion,2001,Whole Year,19410.0,173430,1672.5,1982343.3,5046.6,8.714333333
Other  Rabi pulses,2001,Rabi,35620.0,21120,1672.5,3637870.6,9261.2,0.62
Other Kharif pulses,2001,Kharif,21440.0,10630,1672.5,2189667.2,5574.4,0.47125
Potato,2001,Whole Year,7580.0,78049,1672.5,774145.4,1970.8,9.565714286
Ragi,2001,Kharif,76262.0,45077,1672.5,7788638.06,19828.12,0.489166667
Rapeseed &Mustard,2001,Rabi,14159.0,2224,1672.5,1446058.67,3681.34,0.139310345
Rice,2001,Kharif,4500000.0,7220000,1672.5,459585000.0,1170000.0,1.583666667
Safflower,2001,Rabi,3950.0,2190,1672.5,403413.5,1027.0,0.4905
Sesamum,2001,Kharif,51573.0,11341,1672.5,5267150.49,13408.98,0.225
Small millets,2001,Kharif,42360.0,20120,1672.5,4326226.8,11013.6,0.426875
Sugarcane,2001,Whole Year,10988.0,644007,1672.5,1122204.44,2856.88,52.85172414
Sunflower,2001,Kharif,460.0,200,1672.5,46979.8,119.6,0.568
Sunflower,2001,Rabi,8940.0,6850,1672.5,913042.2,2324.4,0.664814815
Sweet potato,2001,Whole Year,38480.0,312850,1672.5,3929962.4,10004.8,8.193666667
Tobacco,2001,Whole Year,5680.0,3580,1672.5,580098.4,1476.8,0.524
Turmeric,2001,Whole Year,26420.0,59240,1672.5,2698274.6,6869.2,2.108
Urad,2001,Kharif,148934.0,44552,1672.5,15210629.42,38722.84,0.255333333
Wheat,2001,Rabi,6976.0,10565,1672.5,712458.88,1813.76,1.1288
Arhar/Tur,2002,Kharif,114190.0,73450,1102.8,10810367.3,28547.5,0.665862069
Arhar/Tur,2002,Rabi,70.0,50,1102.8,6626.9,17.5,0.65
Bajra,2002,Kharif,3760.0,1820,1102.8,355959.2,940.0,0.528333333
Castor seed,2002,Kharif,7830.0,3610,1102.8,741266.1,1957.5,0.463913043
Castor seed,2002,Rabi,6400.0,2750,1102.8,605888.0,1600.0,0.489166667
Coriander,2002,Whole Year,18880.0,8950,1102.8,1787369.6,4720.0,0.472333333
Dry chillies,2002,Whole Year,74970.0,62910,1102.8,7097409.9,18742.5,0.834333333
Garlic,2002,Whole Year,10700.0,33830,1102.8,1012969.0,2675.0,3.16
Ginger,2002,Kharif,15340.0,29490,1102.8,1452237.8,3835.0,1.828
Gram,2002,Rabi,21040.0,13020,1102.8,1991856.8,5260.0,0.489310345
Groundnut,2002,Kharif,56137.0,48835,1102.8,5314489.79,14034.25,0.863
Horse-gram,2002,Kharif,75952.0,14322,1102.8,7190375.84,18988.0,0.222666667
Jowar,2002,Kharif,11000.0,5720,1102.8,1041370.0,2750.0,0.5605
Jute,2002,Kharif,5610.0,51209,1102.8,531098.7,1402.5,8.91875
Linseed,2002,Rabi,16530.0,5410,1102.8,1564895.1,4132.5,0.329285714
Maize,2002,Kharif,43100.0,42400,1102.8,4080277.0,10775.0,0.9248
Masoor,2002,Rabi,3810.0,1400,1102.8,360692.7,952.5,0.36
Moong(Green Gram),2002,Kharif,168305.0,38348,1102.8,15933434.35,42076.25,0.205666667
Niger seed,2002,Kharif,98060.0,15560,1102.8,9283340.2,24515.0,0.247272727
Niger seed,2002,Rabi,19930.0,5810,1102.8,1886773.1,4982.5,0.330909091
Onion,2002,Whole Year,26410.0,238790,1102.8,2500234.7,6602.5,8.852666667
Other  Rabi pulses,2002,Rabi,26900.0,15730,1102.8,2546623.0,6725.0,0.592962963
Other Kharif pulses,2002,Kharif,20790.0,10461,1102.8,1968189.3,5197.5,0.455555556
Potato,2002,Whole Year,7076.0,70320,1102.8,669884.92,1769.0,8.908214286
Ragi,2002,Kharif,77095.0,35504,1102.8,7298583.65,19273.75,0.387692308
Rapeseed &Mustard,2002,Rabi,12193.0,1604,1102.8,1154311.31,3048.25,0.118333333
Rice,2002,Kharif,4273000.0,3278000,1102.8,404524910.0,1068250.0,0.753333333
Safflower,2002,Rabi,1250.0,500,1102.8,118337.5,312.5,0.51
Sesamum,2002,Kharif,43471.0,7022,1102.8,4115399.57,10867.75,0.203448276
Small millets,2002,Kharif,30440.0,11440,1102.8,2881754.8,7610.0,0.394705882
Sugarcane,2002,Whole Year,14177.0,753194,1102.8,1342136.59,3544.25,52.07642857
Sunflower,2002,Kharif,50.0,30,1102.8,4733.5,12.5,0.666666667
Sunflower,2002,Rabi,3860.0,2610,1102.8,365426.2,965.0,0.599655172
Sweet potato,2002,Whole Year,46890.0,384260,1102.8,4439076.3,11722.5,8.228666667
Tobacco,2002,Whole Year,4090.0,2600,1102.8,387200.3,1022.5,0.522222222
Turmeric,2002,Whole Year,23640.0,33700,1102.8,2237998.8,5910.0,2.164827586
Urad,2002,Kharif,117293.0,27067,1102.8,11104128.31,29323.25,0.202333333
Wheat,2002,Rabi,4627.0,5767,1102.8,438038.09,1156.75,1.133636364
Arhar/Tur,2003,Kharif,136540.0,95590,1648.2,13514729.2,32769.6,0.682068966
Bajra,2003,Kharif,3270.0,1720,1648.2,323664.6,784.8,0.538333333
Castor seed,2003,Kharif,10900.0,5590,1648.2,1078882.0,2616.0,0.480769231
Castor seed,2003,Rabi,6830.0,3050,1648.2,676033.4,1639.2,0.486
Coriander,2003,Whole Year,19010.0,9000,1648.2,1881609.8,4562.4,0.480666667
Dry chillies,2003,Whole Year,75040.0,63180,1648.2,7427459.2,18009.6,0.838666667
Garlic,2003,Whole Year,10850.0,34320,1648.2,1073933.0,2604.0,3.144666667
Ginger,2003,Kharif,15480.0,30020,1648.2,1532210.4,3715.2,1.810333333
Gram,2003,Rabi,28570.0,17670,1648.2,2827858.6,6856.8,0.505172414
Groundnut,2003,Kharif,77176.0,93133,1648.2,7638880.48,18522.24,1.084
Horse-gram,2003,Kharif,87826.0,24752,1648.2,8693017.48,21078.24,0.293103448
Jowar,2003,Kharif,11090.0,6380,1648.2,1097688.2,2661.6,0.604
Jute,2003,Kharif,2590.0,18148,1648.2,256358.2,621.6,7.076666667
Linseed,2003,Rabi,18240.0,7180,1648.2,1805395.2,4377.6,0.33
Maize,2003,Kharif,55549.0,78744,1648.2,5498240.02,13331.76,0.887307692
Maize,2003,Rabi,13760.0,18180,1648.2,1361964.8,3302.4,1.32
Masoor,2003,Rabi,5860.0,2430,1648.2,580022.8,1406.4,0.4025
Moong(Green Gram),2003,Kharif,257261.0,60081,1648.2,25463693.78,61742.64,0.229333333
Niger seed,2003,Kharif,110640.0,25660,1648.2,10951147.2,26553.6,0.277
Niger seed,2003,Rabi,19610.0,6170,1648.2,1940997.8,4706.4,0.38
Onion,2003,Whole Year,26550.0,240340,1648.2,2627919.0,6372.0,8.845666667
Other  Rabi pulses,2003,Rabi,35250.0,20190,1648.2,3489045.0,8460.0,0.582592593
Other Kharif pulses,2003,Kharif,27280.0,15020,1648.2,2700174.4,6547.2,0.506428571
Potato,2003,Whole Year,7303.0,75823,1648.2,722850.94,1752.72,9.688965517
Ragi,2003,Kharif,70490.0,44575,1648.2,6977100.2,16917.6,0.4768
Rapeseed &Mustard,2003,Rabi,15907.0,3065,1648.2,1574474.86,3817.68,0.169310345
Rice,2003,Kharif,4501000.0,6801000,1648.2,445508980.0,1080240.0,1.516333333
Safflower,2003,Rabi,1620.0,710,1648.2,160347.6,388.8,0.42875
Sesamum,2003,Kharif,37716.0,7776,1648.2,3733129.68,9051.84,0.219333333
Small millets,2003,Kharif,26570.0,11510,1648.2,2629898.6,6376.8,0.435789474
Sugarcane,2003,Whole Year,14565.0,858096,1648.2,1441643.7,3495.6,54.54655172
Sunflower,2003,Kharif,820.0,470,1648.2,81163.6,196.8,0.608461538
Sunflower,2003,Rabi,5230.0,3920,1648.2,517665.4,1255.2,0.647931034
Sweet potato,2003,Whole Year,47030.0,393560,1648.2,4655029.4,11287.2,8.454333333
Tobacco,2003,Whole Year,5310.0,3490,1648.2,525583.8,1274.4,0.537
Turmeric,2003,Whole Year,23780.0,56420,1648.2,2353744.4,5707.2,2.241
Urad,2003,Kharif,135994.0,36794,1648.2,13460686.12,32638.56,0.256333333
Wheat,2003,Rabi,5129.0,7517,1648.2,507668.42,1230.96,1.377407407
Arhar/Tur,2019,Kharif,128630.0,144580,1593.9,22093488.8,47593.1,0.973461538
