district,lat,lon
Angul,20.981042748520636,84.90248348364187
Baleshwar,21.48889819557621,86.90431344946361
Baragarh,21.216645267312792,83.34625904177065
Bhadrak,20.978616409085614,86.61670396404799
Bolangir,20.585922753440528,83.16656829481391
Boudh,20.641435044380966,84.17072091039914
Cuttack,20.44363121451533,85.69853953013384
Deogarh,21.462336841262218,84.79732711451402
Dhenkanal,20.820109359608715,85.52026558769336
Gajapati,19.165091431994757,84.15327987479174
Ganjam,19.621761578398285,84.65868176022002
Jagatsinghpur,20.216322555129423,86.32996117628137
Jajpur,20.849694869217732,86.14668189928312
Jharsuguda,21.802840992440125,83.94776380648894
Kalahandi,19.861868710730036,83.10171506720425
Kandhamal,20.122631154479024,84.04012346658844
Kendrapara,20.54688654139083,86.6046678186506
Keonjhar,21.53225328644185,85.69919560823801
Khordha,20.08255205832037,85.50524787294837
Koraput,18.811165450256745,82.7072062018311
Malkangiri,18.25050072649653,81.94802601190875
Mayurbhanj,21.890673376638865,86.40586500852461
Nabarangpur,19.582510059797844,82.3299580984031
Nayagarh,20.206194093236412,84.99291440233168
Nuapada,20.46148854238342,82.57086358488118
Puri,19.865765487931178,85.6984213786442
Rayagada,19.35501693213389,83.50626509940912
Sambalpur,21.447530852434202,84.27427710323998
Sonepur,20.92698502042707,83.81780261662551
Sundargarh,22.07666600993509,84.50392837222182
